Site,DBH(cm),Total.height(m),Dry.total.AGB(kg),Wood.specific.gravity
ColombiaC1,73.9,42.7,4618.80,0.47
ColombiaC1,86.9,38.9,5830.33,0.43
ColombiaC1,90.7,47.1,9331.57,0.41
ColombiaC1,91.2,37.0,5669.33,0.41
ColombiaC1,109.1,41.7,9667.69,0.46
ColombiaC1,116.3,46.3,7070.65,0.46
ColombiaC1,21.7,23.6,274.23,0.52
ColombiaC1,7.8,10.1,20.78,0.48
ColombiaC1,22.9,18.5,240.66,0.45
ColombiaC1,44.7,33.2,3482.99,0.39
ColombiaC1,49.7,29.3,1786.53,0.51
ColombiaC1,57.7,31.1,2681.67,0.43
ColombiaC1,13.6,15.9,81.66,0.42
ColombiaC1,49.1,32.3,1870.67,0.40
ColombiaC1,9.1,14.3,36.65,0.72
ColombiaC1,38.5,27.8,1589.64,0.72
ColombiaC1,45.6,34.1,1917.77,0.73
ColombiaC1,67.2,33.2,3330.03,0.72
ColombiaC1,76.1,32.7,6433.48,0.75
ColombiaC1,33.4,26.1,893.78,0.66
ColombiaC1,126.7,35.9,9704.27,0.73
ColombiaC1,57.9,35.6,4812.23,0.46
ColombiaC1,92.6,41.1,6086.63,0.47
ColombiaC1,69.6,31.0,5554.70,0.56
ColombiaC1,8.2,14.9,41.94,0.44
ColombiaC1,17.1,19.8,212.44,0.71
ColombiaC1,23.1,22.9,426.54,0.75
ColombiaC1,55.2,30.8,4544.40,0.59
ColombiaC1,12.9,17.8,63.30,0.85
ColombiaC1,56.3,32.9,2167.89,0.49
ColombiaC1,6.7,11.0,16.26,0.30
ColombiaC1,10.7,15.0,42.45,0.50
ColombiaC1,13.8,18.2,58.81,0.42
ColombiaC1,26.8,21.3,333.55,0.36
ColombiaC1,90.7,35.0,6148.68,0.47
ColombiaC1,8.1,10.5,21.13,0.47
ColombiaC1,38.9,25.2,890.95,0.45
ColombiaC1,59.3,33.1,2019.98,0.35
ColombiaC1,27.3,22.9,531.76,0.32
ColombiaC1,18.9,20.3,218.99,0.27
ColombiaC1,27.6,28.8,951.33,0.63
ColombiaC1,44.3,25.8,957.41,0.69
ColombiaC1,59.4,27.3,3727.60,0.38
ColombiaC1,74.2,39.4,7660.39,0.48
ColombiaC1,76.7,33.8,6082.54,0.49
ColombiaC1,82.3,33.6,7117.01,0.46
ColombiaC1,9.4,16.3,32.92,0.63
ColombiaC1,11.1,16.5,45.19,0.34
ColombiaC1,15.9,17.4,127.79,0.55
ColombiaC1,24.5,18.0,258.96,0.46
ColombiaC1,34.3,26.0,783.01,0.42
ColombiaC1,42.7,27.0,1666.50,0.50
ColombiaC1,5.6,7.9,9.75,0.50
ColombiaC1,25.1,23.9,382.72,0.48
ColombiaC1,40.4,27.6,1524.67,0.41
ColombiaC1,47.7,29.0,1640.95,0.40
ColombiaG1,11.1,13.3,67.32,0.32
ColombiaG1,14.8,17.7,85.89,0.31
ColombiaG1,17.8,18.8,121.29,0.30
ColombiaG1,18.8,19.3,128.44,0.33
ColombiaG1,19.5,18.7,131.28,0.25
ColombiaG1,22.4,19.2,153.44,0.37
ColombiaG1,24.3,20.9,226.70,0.35
ColombiaG1,28.9,21.5,443.05,0.32
ColombiaG1,29.8,21.8,391.18,0.39
ColombiaG1,37.5,23.0,680.78,0.34
ColombiaG1,38.5,23.4,717.28,0.33
ColombiaG1,47.8,24.7,2094.52,0.54
ColombiaG1,25.2,19.3,454.47,0.28
ColombiaG1,28.2,19.7,364.78,0.30
ColombiaG1,38.7,21.8,485.73,0.34
ColombiaG1,40.5,25.1,458.33,0.30
ColombiaG1,40.8,27.0,494.18,0.33
ColombiaG1,52.4,28.3,1156.23,0.29
ColombiaG1,52.7,26.1,1333.77,0.34
ColombiaG1,56.1,23.2,1205.03,0.36
ColombiaG1,57.9,25.3,1454.18,0.25
ColombiaG1,61.8,26.2,1409.55,0.29
ColombiaG1,63.1,29.8,1939.67,0.33
ColombiaG1,63.7,28.2,1769.64,0.31
ColombiaG1,65.5,30.3,1745.98,0.36
ColombiaG1,67.0,29.8,2327.65,0.30
ColombiaG1,70.3,32.5,2837.34,0.34
ColombiaG1,70.9,28.0,2519.89,0.30
ColombiaG1,49.8,33.0,2259.24,0.83
ColombiaG1,15.8,18.2,141.70,0.49
ColombiaG1,23.8,26.1,545.36,0.56
ColombiaG1,32.3,33.6,780.26,0.53
ColombiaG1,37.1,26.0,615.81,0.51
ColombiaG1,38.8,24.9,876.71,0.53
ColombiaG1,50.2,29.0,1330.51,0.47
ColombiaG1,68.7,29.8,5110.31,0.56
ColombiaG2,7.2,11.3,13.01,0.35
ColombiaG2,10.7,15.5,32.51,0.40
